repo,numero,arquivos,linhas_add,linhas_rem,tempo_h,descricao_len,comentarios,participantes
freeCodeCamp/freeCodeCamp,59576,2,4,1,3.37,541,0,3
freeCodeCamp/freeCodeCamp,59570,1,29,2,1.64,294,0,3
freeCodeCamp/freeCodeCamp,59569,9,75,119,2.37,298,3,3
freeCodeCamp/freeCodeCamp,59560,1,1,1,5.0,320,1,3
freeCodeCamp/freeCodeCamp,59559,1,2,1,15.53,559,0,3
freeCodeCamp/freeCodeCamp,59556,1,8,0,17.71,560,0,3
freeCodeCamp/freeCodeCamp,59552,2,391,50,50.12,393,0,3
freeCodeCamp/freeCodeCamp,59550,1,13,1,14.34,315,0,3
freeCodeCamp/freeCodeCamp,59548,2,246,1,50.55,275,1,4
freeCodeCamp/freeCodeCamp,59547,10,10,70,2.4,45,0,3
freeCodeCamp/freeCodeCamp,59540,1,1,1,39.53,275,0,4
freeCodeCamp/freeCodeCamp,59539,1,7,1,45.03,475,0,4
freeCodeCamp/freeCodeCamp,59537,4,4,4,34.11,275,0,4
freeCodeCamp/freeCodeCamp,59534,1,3,3,19.09,282,2,3
freeCodeCamp/freeCodeCamp,59531,1,1,1,5.81,275,0,3
freeCodeCamp/freeCodeCamp,59529,1,6,7,30.48,275,0,3
freeCodeCamp/freeCodeCamp,59528,1,6,18,3.04,359,1,2
freeCodeCamp/freeCodeCamp,59527,1,6,18,3.37,275,0,3
freeCodeCamp/freeCodeCamp,59524,1,1,1,6.97,275,0,3
freeCodeCamp/freeCodeCamp,59522,1,9,2,67.27,275,1,5
freeCodeCamp/freeCodeCamp,59521,1,2,2,10.28,275,0,3
freeCodeCamp/freeCodeCamp,59519,1,12,14,11.83,389,0,3
freeCodeCamp/freeCodeCamp,59516,1,1,1,2.52,47,0,3
freeCodeCamp/freeCodeCamp,59514,20,690,250,4.27,45,0,3
freeCodeCamp/freeCodeCamp,59510,1,1,1,9.07,275,0,3
freeCodeCamp/freeCodeCamp,59508,1,9,0,85.13,452,0,4
freeCodeCamp/freeCodeCamp,59507,1,2,2,67.99,275,1,4
freeCodeCamp/freeCodeCamp,59503,1,2,2,54.04,275,2,4
freeCodeCamp/freeCodeCamp,59499,1,1,1,37.8,259,3,4
