repo,numero,arquivos,linhas_add,linhas_rem,tempo_h,descricao_len,comentarios,participantes
freeCodeCamp/freeCodeCamp,60040,3,11,11,2.9,279,0,3
freeCodeCamp/freeCodeCamp,60036,2,4,2,3.69,302,0,3
freeCodeCamp/freeCodeCamp,60031,1,144,158,1.74,45,0,3
freeCodeCamp/freeCodeCamp,60030,2,2,4,7.4,786,1,3
freeCodeCamp/freeCodeCamp,60028,1,4,4,1.34,577,4,3
freeCodeCamp/freeCodeCamp,60020,1,1,1,7.99,275,0,3
freeCodeCamp/freeCodeCamp,60013,1,3,3,4.42,275,0,3
freeCodeCamp/freeCodeCamp,60009,1,3,3,11.26,695,1,2
freeCodeCamp/freeCodeCamp,60008,1,4,4,20.14,642,3,4
freeCodeCamp/freeCodeCamp,60003,1,3,3,25.24,420,5,4
freeCodeCamp/freeCodeCamp,59997,1,4,4,30.84,275,1,4
freeCodeCamp/freeCodeCamp,59994,1,4,4,33.85,682,0,4
freeCodeCamp/freeCodeCamp,59992,4,15,11,1.73,0,0,3
freeCodeCamp/freeCodeCamp,59987,2,4,16,6.12,275,0,3
freeCodeCamp/freeCodeCamp,59980,13,41,41,96.66,275,6,3
freeCodeCamp/freeCodeCamp,59978,1,1,1,8.77,275,0,3
freeCodeCamp/freeCodeCamp,59977,2,2,2,1.69,275,0,3
freeCodeCamp/freeCodeCamp,59976,1,1,1,2.15,291,2,4
freeCodeCamp/freeCodeCamp,59962,1,1,1,1.23,275,1,4
freeCodeCamp/freeCodeCamp,59961,1,1,1,2.58,0,1,3
freeCodeCamp/freeCodeCamp,59957,4,77,75,1.47,356,0,3
freeCodeCamp/freeCodeCamp,59955,1,1,1,1.09,275,0,3
freeCodeCamp/freeCodeCamp,59946,3,4,4,6.67,0,0,4
freeCodeCamp/freeCodeCamp,59945,1,5,5,2.34,238,0,3
freeCodeCamp/freeCodeCamp,59944,1,9,4,2.46,0,0,4
freeCodeCamp/freeCodeCamp,59943,1,12,22,3.4,507,0,4
freeCodeCamp/freeCodeCamp,59942,3,7,6,2.39,656,0,3
freeCodeCamp/freeCodeCamp,59940,1,24,24,7.29,410,1,3
freeCodeCamp/freeCodeCamp,59936,1,1,1,3.97,275,0,3
freeCodeCamp/freeCodeCamp,59935,4,7,7,17.25,315,0,5
freeCodeCamp/freeCodeCamp,59931,7,11,12,12.96,910,0,3
freeCodeCamp/freeCodeCamp,59930,1,1,1,8.24,275,3,3
freeCodeCamp/freeCodeCamp,59927,1,1,1,1.45,47,0,3
freeCodeCamp/freeCodeCamp,59926,1,1,1,15.4,375,3,4
freeCodeCamp/freeCodeCamp,59924,1,0,4,20.17,275,0,4
freeCodeCamp/freeCodeCamp,59922,1,0,1,2.25,396,2,4
freeCodeCamp/freeCodeCamp,59920,2,13,1,7.88,340,2,4
freeCodeCamp/freeCodeCamp,59918,20,40,10,2.59,45,0,3
