repositorio,dependencias_vulneraveis
jpackage-maven-plugin,1
ASCII-Data,0
maven-build-scanner,0
alfresco-sdk,0
properties-maven-plugin,5
mosec-maven-plugin,5
maven-mvnd,0
maven-enforcer,0
flatten-maven-plugin,4
proguard-spring-boot-example,11
RgxGen,0
etoolbox-authoring-kit,0
kid-bank,37
selenium-webdriver-java,0
RefactorFirst,0
formatter-maven-plugin,12
spring-boot-microservices-course,0
maven-resources-plugin,0
fabric8-maven-plugin,0
freemarker-java-8,0
impsort-maven-plugin,0
maven-build-cache-extension,1
MyUploader-Backend,18
maven-confluence-plugin,0
techbuzz,0
maven-clean-plugin,0
extra-enforcer-rules,5
dependency-lock-maven-plugin,0
shop,35
java-sdk,1
confluence-publisher,0
My-Blog,86
sign-maven-plugin,5
allure-maven,1
jakartaee8-starter-boilerplate,0
webdrivermanager,5
executable-jar-with-maven-example,0
maven-resolver,0
duplicate-finder-maven-plugin,1
maven-compiler-plugin,0
keycloak-mail-whitelisting,10
testng-java-maven,0
maven-jpackage-template,1
dockerfile-maven,0
junit4-java-maven,0
versions,0
maven,0
docker-maven-plugin,16
maven-archetype-springboot,0
plantuml-generator,1
jaxb2-maven-plugin,4
gitflow-helper-maven-plugin,5
javaee8-essentials-archetype,0
reproducible-build-maven-plugin,0
ctenopharyngodon-idella,33
proguard-maven-plugin,3
java-training-api,14
cyclonedx-maven-plugin,1
perfect-ssm,30
protobuf-maven-plugin,0
maven-jar-plugin,1
restdocs-spec,0
spring-framework-petclinic,2
maven-plugin-tools,0
wildfly-maven-plugin,0
carnotzet,0
maven-it-extension,0
Angular2AndJavaEE,0
exec-maven-plugin,5
macosappbundler-maven-plugin,1
maven-buildtime-profiler,5
gmaven,0
carina-demo,32
gitflow-maven-plugin,5
selenium_BDD_framework,0
danyuan-application,0
strongbox,0
