Nome do Repositório,Descrição,URL,Criado em,Idade do Repositório (dias),Última Atualização,Tempo desde última atualização (dias),Linguagem Principal,Total PRs Mesclados,Total de Releases,Total de Issues,Total de Issues Fechadas
freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,https://github.com/freeCodeCamp/freeCodeCamp,24-12-2014,3715,23-02-2025,1,TypeScript,24374,0,18935,18760
free-programming-books,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,11-10-2013,4154,14-02-2025,10,HTML,6787,0,1160,1131
awesome,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,11-07-2014,3881,05-02-2025,19,N/A,661,0,347,335
build-your-own-x,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,09-05-2018,2483,03-09-2024,174,Markdown,140,0,732,542
public-apis,A collective list of free APIs,https://github.com/public-apis/public-apis,20-03-2016,3263,31-10-2024,116,Python,1872,0,653,603
coding-interview-university,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,06-06-2016,3185,05-12-2024,81,N/A,415,0,511,458
developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,15-03-2017,2903,23-02-2025,1,TypeScript,3339,1,2670,2530
system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,26-02-2017,2920,02-12-2024,84,Python,199,0,320,87
996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,26-03-2019,2162,03-10-2024,144,N/A,1068,0,0,0
awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,27-06-2014,3895,11-08-2024,197,Python,543,0,0,0
react,The library for web and native user interfaces.,https://github.com/facebook/react,24-05-2013,4294,21-02-2025,3,JavaScript,11363,103,13535,12760
project-based-learning,Curated list of project-based tutorials,https://github.com/practical-tutorials/project-based-learning,12-04-2017,2875,15-08-2024,193,N/A,182,0,191,78
awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,https://github.com/awesome-selfhosted/awesome-selfhosted,01-06-2015,3556,23-02-2025,1,N/A,2393,1,803,803
vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",https://github.com/vuejs/vue,29-07-2013,4228,10-10-2024,137,TypeScript,1136,249,10018,9664
Python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python,16-07-2016,3145,22-02-2025,2,Python,2913,0,1556,1492
javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,https://github.com/trekhleb/javascript-algorithms,24-03-2018,2529,12-02-2025,12,JavaScript,302,0,356,227
linux,Linux kernel source tree,https://github.com/torvalds/linux,04-09-2011,4922,23-02-2025,1,C,10,0,0,0
tensorflow,An Open Source Machine Learning Framework for Everyone,https://github.com/tensorflow/tensorflow,07-11-2015,3397,24-02-2025,0,C++,29283,213,40255,39461
You-Dont-Know-JS,A book series (2 published editions) on the JS language.,https://github.com/getify/You-Dont-Know-JS,16-11-2013,4118,05-09-2024,172,N/A,367,0,936,855
CS-Notes,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,https://github.com/CyC2018/CS-Notes,13-02-2018,2568,21-08-2024,187,N/A,374,0,596,448
ohmyzsh,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community.",https://github.com/ohmyzsh/ohmyzsh,28-08-2009,5659,19-02-2025,5,Shell,3289,0,4894,4761
computer-science,🎓 Path to a free self-taught education in Computer Science!,https://github.com/ossu/computer-science,04-05-2014,3949,23-02-2025,1,N/A,283,0,642,628
